Comment,Description,Designator,Footprint,LibRef,Quantity

"SMITHS_S-00-U-1.3-G_MID","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount","H1, H2, H3, H4, H5, H6, H7, H8, H9, H10","SMITHS_S-00-U-1.3-G_MID","SMITHS_S-00-U-1.3-G_MID","10"
"4-40 / 0.25"" spacer","","H11, H12, H13, H14","SCREW_4-40_1/4-SPACER","SCREW_4-40_1/4-SPACER","4"
"4-40","","H15, H16, H17, H18","SCREW_4-40_BLANK","SCREW_4-40_EMPTY","4"
"FFC","Amphenol HFW6R-1STE1LF 6-pin flat flexible cable connector","J1","AMPHENOL_HFW6R-1STE1LF","AMPHENOL_HFW6R-1STE1LF","1"
"HDR_5","5-pin 0.1"" header","J2","HDR_5","HDR_5","1"
"HDR_2","2-pin 0.1"" header","J3, J4","HDR_2","HDR_2","2"
"SMITHS_S-00-U-1.3-G_TH","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount","P1, P2, P3, P4, P5, P6, P7, P8, P9, P10","SMITHS_S-00-U-1.3-G_TH","SMITHS_S-00-U-1.3-G_TH","10"
